"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"979499","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","UHF42","408","Jamaica","2024","2024-01-01T00:00:00.000","5.400398884",
"979510","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","102","Greenwich Village and Soho (CD2)","2024","2024-01-01T00:00:00.000","8.297951577",
"979505","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","UHF34","501502","Northern SI","2024","2024-01-01T00:00:00.000","6.192281561",
"979525","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","205","Fordham and University Heights (CD5)","2024","2024-01-01T00:00:00.000","6.277665492",
"980013","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","UHF42","211","Williamsburg - Bushwick","2024","2024-01-01T00:00:00.000","15.82250175",
"980256","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF34","303","East Harlem","2024","2024-01-01T00:00:00.000","14.21132542",
"979393","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF42","308","Greenwich Village - SoHo","2024","2024-01-01T00:00:00.000","11.02796193",
"979538","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","306","Park Slope and Carroll Gardens (CD6)","2024","2024-01-01T00:00:00.000","7.029929661",
"980288","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF42","310","Lower Manhattan","2024","2024-01-01T00:00:00.000","18.76095924",
"980220","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","CD","207","Kingsbridge Heights and Bedford (CD7)","2024","2024-01-01T00:00:00.000","13.16675082",
"979539","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","307","Sunset Park (CD7)","2024","2024-01-01T00:00:00.000","6.837237434",
"979565","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","501","St. George and Stapleton (CD1)","2024","2024-01-01T00:00:00.000","6.286674897",
"980298","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF42","211","Williamsburg - Bushwick","2024","2024-01-01T00:00:00.000","12.41213995",
"980026","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","CD","413","Queens Village (CD13)","2024","2024-01-01T00:00:00.000","12.9786634",
"979992","1431","Nitrogen dioxide (NO2)","Annual mean","ppb","Borough","2","Brooklyn","2024","2024-01-01T00:00:00.000","14.55374121",
"979556","1427","Fine particles (PM 2.5)","Winter mean","mcg/m3","CD","406","Rego Park and Forest Hills (CD6)","2024","2024-01-01T00:00:00.000","5.752098774",
